0.000000000000000000e+00	2.561010588040497638e-01
1.005025125628140614e+00	3.361957269953517180e-01
2.010050251256281229e+00	4.152243416467962800e-01
3.015075376884421399e+00	4.921729122006870960e-01
4.020100502512562457e+00	5.660741378138536284e-01
5.025125628140703071e+00	6.360290275670370530e-01
6.030150753768842797e+00	7.012265167219412509e-01
7.035175879396982523e+00	7.609605149104126109e-01
8.040201005025124914e+00	8.146439065294140969e-01
9.045226130653265528e+00	8.618191234943343160e-01
1.005025125628140614e+01	9.021650224264263773e-01
1.105527638190954676e+01	9.354999184631109799e-01
1.206030150753768559e+01	9.617807520539288779e-01
1.306532663316582621e+01	9.810984890830966032e-01
1.407035175879396505e+01	9.936699742058452411e-01
1.507537688442210744e+01	9.998265683337680398e-01
1.608040201005024983e+01	1.000000000000000000e+00
1.708542713567839044e+01	9.947059435673206718e-01
1.809045226130653106e+01	9.845259021586302284e-01
1.909547738693467522e+01	9.700880176909063568e-01
2.010050251256281229e+01	9.520474531073499502e-01
2.110552763819095290e+01	9.310669922262130305e-01
2.211055276381909351e+01	9.077984807469475781e-01
2.311557788944723768e+01	8.828656888435588712e-01
2.412060301507537119e+01	8.568491131431962282e-01
2.512562814070351536e+01	8.302731561265291882e-01
2.613065326633165242e+01	8.035960270785910131e-01
2.713567839195979658e+01	7.772026041313461198e-01
2.814070351758793009e+01	7.514003854969215634e-01
2.914572864321607426e+01	7.264185437380540344e-01
3.015075376884421487e+01	7.024099839793878086e-01
3.115577889447235904e+01	6.794561993763531538e-01
3.216080402010049966e+01	6.575746187564415202e-01
3.316582914572863672e+01	6.367280556056073015e-01
3.417085427135678088e+01	6.168357974876176320e-01
3.517587939698491795e+01	5.977858229701921156e-01
3.618090452261306211e+01	5.794476009342592882e-01
3.718592964824119917e+01	5.616849157782342061e-01
3.819095477386935045e+01	5.443681717515492791e-01
3.919597989949748040e+01	5.273856599447073190e-01
4.020100502512562457e+01	5.106533210623720453e-01
4.120603015075376163e+01	4.941226040464004599e-01
4.221105527638190580e+01	4.777861023050949951e-01
4.321608040201004286e+01	4.616807426196046227e-01
4.422110552763818703e+01	4.458884031981046880e-01
4.522613065326632409e+01	4.305339430059044736e-01
4.623115577889447536e+01	4.157807304408483451e-01
4.723618090452259821e+01	4.018238616720787859e-01
4.824120603015074238e+01	3.888813536834013207e-01
